Rank;Sourceid;Title;Type;Issn;Publisher;Open Access;Open Access Diamond;SJR;SJR Best Quartile;H index;Total Docs. (2020);Total Docs. (3years);Total Refs.;Total Citations (3years);Citable Docs. (3years);Citations / Doc. (2years);Ref. / Doc.;%Female;Overton;Country;Region;Publisher;Coverage;Categories;Areas
13957;21100228566;"Afrika Matematika";journal;"10129405, 21907668";"Springer Science + Business Media";Yes;No;0,327;Q3;31;96;283;2179;256;283;0,86;22,70;23,30;0;United States;Northern America;"Springer Science + Business Media";"2011-2026";"Mathematics (miscellaneous) (Q3)";"Mathematics"
13958;21100367685;"CEAS Aeronautical Journal";journal;"18695582, 18695590";"Springer Science + Business Media";No;No;0,327;Q3;36;79;169;2255;232;166;1,38;28,54;14,22;6;United States;Northern America;"Springer Science + Business Media";"2011-2026";"Aerospace Engineering (Q3); Transportation (Q3)";"Engineering; Social Sciences"
13959;19700170911;"CEAS Space Journal";journal;"18682502, 18682510";"Springer-Verlag Wien";No;No;0,327;Q3;30;44;140;1151;162;133;1,01;26,16;15,66;2;Austria;Western Europe;"Springer-Verlag Wien";"2011-2026";"Aerospace Engineering (Q3); Space and Planetary Science (Q4)";"Earth and Planetary Sciences; Engineering"
13960;79582;"EPPO Bulletin";journal;"02508052, 13652338";"Wiley-Blackwell";No;No;0,327;Q3;48;72;251;1766;204;198;0,79;24,53;28,09;15;United States;Northern America;"Wiley-Blackwell";"1971-2025";"Agronomy and Crop Science (Q3); Horticulture (Q3); Plant Science (Q3)";"Agricultural and Biological Sciences"
13961;57168;"Gesundheitswesen, Supplement";journal;"09497013, 16155602";"Georg Thieme Verlag";No;No;0,327;Q3;14;26;25;688;28;25;0,14;26,46;38,28;1;Germany;Western Europe;"Georg Thieme Verlag";"2004-2005, 2007-2008, 2010, 2012, 2015-2018, 2020-2021, 2023-2025";"Public Health, Environmental and Occupational Health (Q3)";"Medicine"
13962;21100899436;"International Journal of Applied and Computational Mathematics";journal;"23495103, 21995796";"Springer India";No;No;0,327;Q3;41;177;653;5983;876;650;1,53;33,80;22,83;0;India;Asiatic Region;"Springer India";"2015-2026";"Applied Mathematics (Q3); Computational Mathematics (Q3)";"Mathematics"
13963;25335;"Journal of Substance Use";journal;"14659891, 14759942";"Taylor and Francis Ltd.";No;No;0,327;Q3;39;121;325;3792;306;312;0,93;31,34;47,63;10;United Kingdom;Western Europe;"Taylor and Francis Ltd.";"1996-2026";"Health (social science) (Q3); Medicine (miscellaneous) (Q3)";"Medicine; Social Sciences"
13964;21100900330;"Marine Systems and Ocean Technology";journal;"1679396X, 21994749";"Springer Nature";No;No;0,327;Q3;19;22;48;847;43;48;1,15;38,50;10,45;1;Switzerland;Western Europe;"Springer Nature";"2004-2026";"Mechanical Engineering (Q3); Ocean Engineering (Q3)";"Engineering"
13965;7200153144;"Molluscan Research";journal;"14486067, 13235818";"Taylor and Francis Ltd.";No;No;0,327;Q3;30;39;101;1878;105;101;1,10;48,15;31,58;0;United Kingdom;Western Europe;"Taylor and Francis Ltd.";"1987-2026";"Animal Science and Zoology (Q3); Ecology, Evolution, Behavior and Systematics (Q3); Genetics (Q4)";"Agricultural and Biological Sciences; Biochemistry, Genetics and Molecular Biology"
13966;17646;"Presse Medicale";journal;"07554982, 22130276";"Elsevier Masson s.r.l.";No;No;0,327;Q3;62;36;800;2091;704;509;0,70;58,08;38,24;4;France;Western Europe;"Elsevier Masson s.r.l.";"1983-2026";"Medicine (miscellaneous) (Q3)";"Medicine"
13967;25217;"Toxicological and Environmental Chemistry";journal;"02772248";"Taylor and Francis Ltd.";No;No;0,327;Q3;55;38;195;1688;309;191;1,57;44,42;46,93;2;United Kingdom;Western Europe;"Taylor and Francis Ltd.";"1979-2026";"Pollution (Q3); Environmental Chemistry (Q4); Health, Toxicology and Mutagenesis (Q4)";"Environmental Science"
13968;21100826658;"Molecular Biology Research Communications";journal;"2322181X, 23452005";"Shiraz University";No;No;0,327;Q4;19;23;67;722;103;67;1,64;31,39;40,40;0;Iran;Middle East;"Shiraz University";"2017-2026";"Biochemistry (Q4); Molecular Biology (Q4)";"Biochemistry, Genetics and Molecular Biology"
13969;21100890657;"Proceedings of MLHPC 2017: Machine Learning in HPC Environments - Held in conjunction with SC 2017: The International Conference for High Performance Computing, Networking, Storage and Analysis";conference and proceedings;"-";"";No;No;0,327;-;7;0;11;0;25;10;0,00;0,00;0,00;0;United States;Northern America;"";"";"Artificial Intelligence; Computer Networks and Communications";"Computer Science"
13970;21100903707;"SIGCSE 2019 - Proceedings of the 50th ACM Technical Symposium on Computer Science Education";conference and proceedings;"-";"";No;No;0,327;-;35;0;207;0;494;204;2,39;0,00;0,00;0;United States;Northern America;"";"";"Computer Science (miscellaneous); Education";"Computer Science; Social Sciences"
13971;5600153391;"Historical Materialism";journal;"14654466, 1569206X";"Brill Academic Publishers";No;No;0,326;Q1;42;58;120;2763;77;119;0,81;47,64;12,16;0;Netherlands;Western Europe;"Brill Academic Publishers";"1997-1998, 2002-2025";"History (Q1); Economics, Econometrics and Finance (miscellaneous) (Q2); Political Science and International Relations (Q2); Social Sciences (miscellaneous) (Q2); Sociology and Political Science (Q2)";"Arts and Humanities; Economics, Econometrics and Finance; Social Sciences"
13972;19700183077;"Research in Dance Education";journal;"14701111, 14647893";"Taylor and Francis Ltd.";No;No;0,326;Q1;25;26;69;854;50;60;0,78;32,85;75,00;1;United Kingdom;Western Europe;"Taylor and Francis Ltd.";"2010-2026";"Visual Arts and Performing Arts (Q1); Education (Q3)";"Arts and Humanities; Social Sciences"
13973;14281;"Studies in History and Philosophy of Science Part C :Studies in History and Philosophy of Biological and Biomedical Sciences";journal;"13698486";"Elsevier Ltd";No;No;0,326;Q1;57;53;95;3585;101;94;0,82;67,64;37,68;0;United Kingdom;Western Europe;"Elsevier Ltd";"1998-2020";"History (Q1); History and Philosophy of Science (Q2); Medicine (miscellaneous) (Q3)";"Arts and Humanities; Medicine"
13974;28725;"MCN The American Journal of Maternal/Child Nursing";journal;"15390683, 0361929X";"Lippincott Williams and Wilkins";Yes;No;0,326;Q2;53;86;300;1412;250;158;0,63;16,42;93,60;0;United States;Northern America;"Lippincott Williams and Wilkins";"1976-2026";"Maternity and Midwifery (Q2); Pharmacology (nursing) (Q2)";"Nursing"
13975;29441;"Review of Economic Design";journal;"14344750, 14344742";"Springer Verlag";No;No;0,326;Q2;28;11;33;363;8;32;0,16;33,00;9,52;1;Germany;Western Europe;"Springer Verlag";"1996-2026";"Economics, Econometrics and Finance (miscellaneous) (Q2)";"Economics, Econometrics and Finance"
13976;21100855735;"Communications for Statistical Applications and Methods";journal;"22877843, 23834757";"Korean Statistical Society";Yes;No;0,326;Q3;15;50;141;1106;85;141;0,52;22,12;34,38;0;South Korea;Asiatic Region;"Korean Statistical Society";"2015, 2017-2025";"Applied Mathematics (Q3); Finance (Q3); Modeling and Simulation (Q3); Statistics and Probability (Q3); Statistics, Probability and Uncertainty (Q3)";"Decision Sciences; Economics, Econometrics and Finance; Mathematics"
13977;28104;"Die Erde";journal;"00139998";"Gesellschaft fur Erdkunde zu Berlin";Yes;No;0,326;Q3;33;19;60;1078;66;59;0,90;56,74;35,56;1;Germany;Western Europe;"Gesellschaft fur Erdkunde zu Berlin";"1977-2025";"Earth and Planetary Sciences (miscellaneous) (Q3); Ecology (Q3); Energy (miscellaneous) (Q3); Atmospheric Science (Q4)";"Earth and Planetary Sciences; Energy; Environmental Science"
13978;21100871687;"European Journal of Ecology";journal;"13398474";"University of Kansas";Yes;Yes;0,326;Q3;16;27;50;1368;46;50;0,87;50,67;28,72;3;United States;Northern America;"University of Kansas";"2015-2025";"Ecology (Q3); Ecology, Evolution, Behavior and Systematics (Q3)";"Agricultural and Biological Sciences; Environmental Science"
13979;14121;"European Review of Applied Psychology";journal;"11629088";"Elsevier Masson s.r.l.";No;No;0,326;Q3;42;35;79;2020;100;78;0,87;57,71;52,43;2;France;Western Europe;"Elsevier Masson s.r.l.";"1998, 2004-2026";"Applied Psychology (Q3)";"Psychology"
13980;21100375269;"International Journal of Managerial and Financial Accounting";journal;"17536715, 17536723";"Inderscience";No;No;0,326;Q3;21;15;61;1091;95;61;1,53;72,73;34,09;0;Switzerland;Western Europe;"Inderscience";"2002, 2008-2026";"Accounting (Q3)";"Business, Management and Accounting"
13981;21100385811;"Journal of Indian Business Research";journal;"17554195, 17554209";"Emerald Group Publishing Ltd.";No;No;0,326;Q3;35;44;60;3920;130;58;1,45;89,09;46,24;0;United Kingdom;Western Europe;"Emerald Group Publishing Ltd.";"2009-2025";"Business, Management and Accounting (miscellaneous) (Q3)";"Business, Management and Accounting"
13982;11200153573;"London Review of Education";journal;"14748460, 14748479";"UCL Press";Yes;Yes;0,326;Q3;38;34;103;1559;134;94;1,35;45,85;58,46;0;United Kingdom;Western Europe;"UCL Press";"2008-2025";"Education (Q3)";"Social Sciences"
13983;15794;"Nagoya Journal of Medical Science";journal;"00277622, 21863326";"Nagoya University";Yes;No;0,326;Q3;37;82;198;2026;235;193;1,02;24,71;22,38;2;Japan;Asiatic Region;"Nagoya University";"1961-2025";"Medicine (miscellaneous) (Q3)";"Medicine"
13984;21100370874;"Processing and Application of Ceramics";journal;"18206131, 24061034";"University of Novi Sad, Faculty of Technology";Yes;Yes;0,326;Q3;28;48;142;1642;206;142;1,27;34,21;44,44;0;Serbia;Eastern Europe;"University of Novi Sad, Faculty of Technology";"2014-2025";"Ceramics and Composites (Q3)";"Materials Science"
13985;21100821485;"Targets in Heterocyclic Systems";book series;"17249449";"Societa Chimica Italiana";No;No;0,326;Q3;21;19;55;1575;63;55;1,30;82,89;28,30;0;Italy;Western Europe;"Societa Chimica Italiana";"2002-2024";"Analytical Chemistry (Q3); Organic Chemistry (Q3); Process Chemistry and Technology (Q3)";"Chemical Engineering; Chemistry"
13986;19900192123;"World Medical and Health Policy";journal;"21532028, 19484682";"John Wiley and Sons Inc";No;No;0,326;Q3;27;45;88;1601;85;61;0,71;35,58;51,35;16;United States;Northern America;"John Wiley and Sons Inc";"2009-2026";"Health Policy (Q3)";"Medicine"
13987;31473;"Conference on Human Factors in Computing Systems - Proceedings";conference and proceedings;"-";"Association for Computing Machinery";No;No;0,326;-;264;1319;3532;57055;15071;3495;4,16;43,26;39,38;88;United States;Northern America;"Association for Computing Machinery";"1982-1983, 1986, 1988-2024";"Computer Graphics and Computer-Aided Design; Human-Computer Interaction; Software";"Computer Science"
13988;21100904767;"HSCC 2019 - Proceedings of the 2019 22nd ACM International Conference on Hybrid Systems: Computation and Control";conference and proceedings;"-";"";No;No;0,326;-;18;0;42;0;159;40;3,79;0,00;0,00;0;United States;Northern America;"";"";"Computer Networks and Communications; Computer Science Applications; Control and Systems Engineering; Electrical and Electronic Engineering";"Computer Science; Engineering"
13989;21100935094;"Proceedings of the ACM SIGCOMM Internet Measurement Conference, IMC";conference and proceedings;"-";"";No;No;0,326;-;24;0;41;0;172;39;4,20;0,00;0,00;0;United States;Northern America;"";"";"Computer Networks and Communications; Software";"Computer Science"
13990;21100198411;"Proceedings of the International Symposium on Wireless Communication Systems";conference and proceedings;"21540217, 21540225";"V D E Verlag GmbH";No;No;0,326;-;39;0;356;0;531;353;1,51;0,00;0,00;0;United States;Northern America;"V D E Verlag GmbH";"1995, 2011-2013, 2015-2019, 2021-2022, 2024";"Computer Networks and Communications; Electrical and Electronic Engineering; Media Technology";"Computer Science; Engineering"
13991;21100870216;"Society of Petroleum Engineers - SPE Liquids - Rich Basins Conference - North America 2017";conference and proceedings;"-";"";No;No;0,326;-;9;0;22;0;49;21;0,00;0,00;0,00;0;United States;Northern America;"";"";"Fuel Technology; Geochemistry and Petrology; Geotechnical Engineering and Engineering Geology";"Earth and Planetary Sciences; Energy"
13992;21100866716;"WebSci 2018 - Proceedings of the 10th ACM Conference on Web Science";conference and proceedings;"-";"";No;No;0,326;-;13;0;47;0;97;45;2,06;0,00;0,00;0;United States;Northern America;"";"";"Computer Networks and Communications";"Computer Science"
13993;19900191730;"Arte, Individuo y Sociedad";journal;"19882408, 11315598";"Universidad Complutense Madrid";Yes;Yes;0,325;Q1;14;73;147;2867;88;142;0,67;39,27;58,20;0;Spain;Western Europe;"Universidad Complutense Madrid";"2010-2026";"Visual Arts and Performing Arts (Q1)";"Arts and Humanities"
13994;145723;"Philosophia Mathematica";journal;"00318019, 17446406";"Oxford University Press";No;No;0,325;Q1;27;15;54;484;55;52;0,91;32,27;18,75;0;United Kingdom;Western Europe;"Oxford University Press";"1964-1970, 1972-1976, 1978, 1980, 1986-1989, 1991, 1993-1996, 1999, 2001, 2004-2025";"Philosophy (Q1); Mathematics (miscellaneous) (Q3)";"Arts and Humanities; Mathematics"
13995;12922;"Acoustical Physics";journal;"15626865, 10637710";"Pleiades Publishing";No;No;0,325;Q2;39;79;274;1824;297;274;1,02;23,09;25,14;0;United States;Northern America;"Pleiades Publishing";"1996-2025";"Acoustics and Ultrasonics (Q2)";"Physics and Astronomy"
13996;21100274252;"Journal of Applied Geodesy";journal;"18629016, 18629024";"Walter de Gruyter GmbH";No;No;0,325;Q2;28;35;82;1042;105;80;1,02;29,77;19,78;1;Germany;Western Europe;"Walter de Gruyter GmbH";"2007-2026";"Engineering (miscellaneous) (Q2); Earth and Planetary Sciences (miscellaneous) (Q3); Modeling and Simulation (Q3)";"Earth and Planetary Sciences; Engineering; Mathematics"
13997;21100456777;"Journal of Demographic Economics";journal;"20540892, 20540906";"Cambridge University Press";No;No;0,325;Q2;20;17;49;871;43;47;0,85;51,24;34,29;8;United Kingdom;Western Europe;"Cambridge University Press";"2015-2026";"Demography (Q2); Geography, Planning and Development (Q2); Economics and Econometrics (Q3)";"Economics, Econometrics and Finance; Social Sciences"
13998;5600153669;"Transforming Anthropology";journal;"15487466, 10510559";"University of Chicago Press";No;No;0,325;Q2;19;20;39;239;35;31;1,04;11,95;80,00;0;United States;Northern America;"University of Chicago Press";"1990-1994, 1998, 2000-2002, 2004, 2007-2025";"Anthropology (Q2)";"Social Sciences"
13999;14618;"Zhendong yu Chongji/Journal of Vibration and Shock";journal;"10003835";"Chinese Vibration Engineering Society";No;No;0,325;Q2;41;916;2772;18319;2356;2772;0,77;20,00;28,17;0;China;Asiatic Region;"Chinese Vibration Engineering Society";"2001-2026";"Acoustics and Ultrasonics (Q2); Mechanical Engineering (Q3); Mechanics of Materials (Q3)";"Engineering; Physics and Astronomy"
14000;19600161813;"Advances in Tribology";journal;"16875915, 16875923";"John Wiley and Sons Ltd";Yes;No;0,325;Q3;26;9;27;395;52;27;2,15;43,89;13,33;0;United Kingdom;Western Europe;"John Wiley and Sons Ltd";"2008-2021, 2023-2024";"Mechanical Engineering (Q3); Surfaces, Coatings and Films (Q3)";"Engineering; Materials Science"
14001;20076;"Annals of Carnegie Museum";journal;"00974463";"Carnegie Museum of Natural History";No;No;0,325;Q3;31;13;23;885;20;23;0,77;68,08;16,22;0;United States;Northern America;"Carnegie Museum of Natural History";"1990-2025";"Ecology, Evolution, Behavior and Systematics (Q3); Geology (Q3)";"Agricultural and Biological Sciences; Earth and Planetary Sciences"
14002;17700156743;"Arab Journal of Gastroenterology";journal;"20902387, 16871979";"Elsevier Ltd";No;No;0,325;Q3;28;55;135;1543;195;124;1,59;28,05;34,46;4;United Kingdom;Western Europe;"Elsevier Ltd";"2009-2026";"Gastroenterology (Q3)";"Medicine"
14003;11700154374;"Biota Neotropica";journal;"16760603, 16786424";"Universidade Estadual de Campinas UNICAMP";Yes;No;0,325;Q3;46;94;212;5466;263;210;1,29;58,15;47,57;7;Brazil;Latin America;"Universidade Estadual de Campinas UNICAMP";"2007-2025";"Ecology, Evolution, Behavior and Systematics (Q3)";"Agricultural and Biological Sciences"
14004;20149;"Central European Journal of Public Health";journal;"18031048, 12107778";"Czech National Institute of Public Health";No;No;0,325;Q3;42;67;223;1751;260;216;1,17;26,13;55,48;5;Czech Republic;Eastern Europe;"Czech National Institute of Public Health";"1993-2025";"Medicine (miscellaneous) (Q3); Public Health, Environmental and Occupational Health (Q3)";"Medicine"
14005;21100870845;"Computational Social Networks";journal;"21974314";"Springer Science and Business Media Deutschland GmbH";Yes;No;0,325;Q3;0;0;0;0;0;0;0,00;0,00;0,00;0;Switzerland;Western Europe;"Springer Science and Business Media Deutschland GmbH";"2014-2021";"Computer Science Applications (Q3); Human-Computer Interaction (Q3); Information Systems (Q3); Modeling and Simulation (Q3)";"Computer Science; Mathematics"
14006;21100806011;"Endocrinologia, Diabetes y Nutricion";journal;"25300172, 25300164";"Sociedad Espanola de Endocrinologia y Nutricion";No;No;0,325;Q3;39;102;317;2744;337;300;1,00;26,90;55,52;11;Spain;Western Europe;"Sociedad Espanola de Endocrinologia y Nutricion";"2017-2026";"Endocrinology, Diabetes and Metabolism (Q3); Nutrition and Dietetics (Q3); Endocrinology (Q4)";"Biochemistry, Genetics and Molecular Biology; Medicine; Nursing"
14007;15073;"Folia Biologica (Czech Republic)";journal;"25337602, 00155500";"Charles University in Prague";Yes;No;0,325;Q3;39;26;84;784;87;84;0,92;30,15;40,00;0;Czech Republic;Eastern Europe;"Charles University in Prague";"1961-2025";"Medicine (miscellaneous) (Q3); Biochemistry (Q4); Cell Biology (Q4); Developmental Biology (Q4); Genetics (Q4); Immunology (Q4); Molecular Biology (Q4)";"Biochemistry, Genetics and Molecular Biology; Immunology and Microbiology; Medicine"
14008;14246;"Group Dynamics";journal;"10892699, 19307802";"American Psychological Association";No;No;0,325;Q3;83;19;46;1159;63;46;0,83;61,00;48,08;2;United States;Northern America;"American Psychological Association";"1997-2025";"Applied Psychology (Q3); Social Psychology (Q3)";"Psychology"
14009;15467;"Instruments and Experimental Techniques";journal;"16083180, 00204412";"Pleiades Publishing";No;No;0,325;Q3;39;148;444;2007;313;444;0,75;13,56;16,51;0;United States;Northern America;"Pleiades Publishing";"1968-1971, 1973-1990, 1996-2025";"Instrumentation (Q3)";"Physics and Astronomy"
14010;19700201137;"Journal of Advanced Pharmaceutical Technology and Research";journal;"09762094, 22314040";"Wolters Kluwer Medknow Publications";Yes;No;0,325;Q3;52;40;99;888;200;89;1,84;22,20;50,00;0;India;Asiatic Region;"Wolters Kluwer Medknow Publications";"2010-2026";"Pharmaceutical Science (Q3)";"Pharmacology, Toxicology and Pharmaceutics"
14011;21100899600;"Journal of Automata, Languages and Combinatorics";journal;"25673785, 1430189X";"Institut fur Informatik, Justus-Liebig-Universitat Giessen";No;No;0,325;Q3;8;16;41;290;23;39;0,56;18,13;21,43;0;Germany;Western Europe;"Institut fur Informatik, Justus-Liebig-Universitat Giessen";"2001, 2018-2025";"Computational Theory and Mathematics (Q3); Discrete Mathematics and Combinatorics (Q3)";"Computer Science; Mathematics"
14012;28206;"Journal of Emergency Nursing";journal;"15272966, 00991767";"Elsevier Inc.";No;No;0,325;Q3;60;140;500;3092;361;337;0,73;22,09;65,04;16;United States;Northern America;"Elsevier Inc.";"1975-2026";"Emergency Nursing (Q3)";"Nursing"
14013;700147309;"Journal of General Management";journal;"17596106, 03063070";"SAGE Publications Inc.";No;No;0,325;Q3;29;27;57;1340;56;45;0,98;49,63;47,54;1;United Kingdom;Western Europe;"SAGE Publications Inc.";"1979, 1982, 2003-2026";"Business, Management and Accounting (miscellaneous) (Q3); Strategy and Management (Q3)";"Business, Management and Accounting"
14014;19700186894;"Journal of GeoEngineering";journal;"19908326";"Taiwan Geotechnical Society";No;No;0,325;Q3;25;17;62;532;55;62;0,73;31,29;29,55;0;Taiwan;Asiatic Region;"Taiwan Geotechnical Society";"2006-2026";"Geotechnical Engineering and Engineering Geology (Q3)";"Earth and Planetary Sciences"
14015;12900154727;"Journal of Industrial and Management Optimization";journal;"15475816, 1553166X";"American Institute of Mathematical Sciences";Yes;No;0,325;Q3;46;152;406;5081;444;406;1,34;33,43;30,61;0;United States;Northern America;"American Institute of Mathematical Sciences";"2007-2025";"Applied Mathematics (Q3); Business and International Management (Q3); Control and Optimization (Q3); Strategy and Management (Q3)";"Business, Management and Accounting; Mathematics"
14016;21100902609;"Journal of Korean Academy of Nursing Administration";journal;"22884955, 12259330";"Korean Academy of Nursing Administration";No;No;0,325;Q3;17;53;92;1498;99;92;1,08;28,26;70,09;0;South Korea;Asiatic Region;"Korean Academy of Nursing Administration";"2018-2026";"Education (Q3); Nursing (miscellaneous) (Q3)";"Nursing; Social Sciences"
14017;26971;"Journal of Physical Organic Chemistry";journal;"10991395, 08943230";"John Wiley and Sons Ltd";No;No;0,325;Q3;80;91;369;5069;643;365;1,97;55,70;31,52;0;United Kingdom;Western Europe;"John Wiley and Sons Ltd";"1988-2026";"Organic Chemistry (Q3); Physical and Theoretical Chemistry (Q3)";"Chemistry"
14018;21100434052;"Journal of Renewable Materials";journal;"21646341, 21646325";"Tech Science Press";No;No;0,325;Q3;46;120;230;5310;393;227;1,76;44,25;36,26;1;United States;Northern America;"Tech Science Press";"2013-2026";"Environmental Science (miscellaneous) (Q3); Materials Science (miscellaneous) (Q3)";"Environmental Science; Materials Science"
14019;4700152721;"Journal of Teaching in Travel and Tourism";journal;"15313239, 15313220";"Routledge";No;No;0,325;Q3;37;27;67;1271;91;65;1,33;47,07;50,00;0;United States;Northern America;"Routledge";"2001-2026";"Education (Q3); Tourism, Leisure and Hospitality Management (Q3)";"Business, Management and Accounting; Social Sciences"
14020;20000195049;"Magis";journal;"20271174, 20271182";"Pontificia Universidad Javeriana";Yes;Yes;0,325;Q3;18;32;67;1446;61;64;0,80;45,19;64,94;0;Colombia;Latin America;"Pontificia Universidad Javeriana";"2008-2025";"Education (Q3)";"Social Sciences"
14021;23238;"Nautilus";journal;"00281344";"Bailey-Matthews Shell Museum";No;No;0,325;Q3;21;14;46;588;31;46;0,52;42,00;37,50;0;United States;Northern America;"Bailey-Matthews Shell Museum";"1966, 1996-2015, 2017-2026";"Aquatic Science (Q3); Ecology, Evolution, Behavior and Systematics (Q3)";"Agricultural and Biological Sciences"
14022;23254;"Nematropica";journal;"00995444";"Organization of Nematologists of Tropical America";No;No;0,325;Q3;30;18;70;652;48;70;0,70;36,22;38,71;0;United States;Northern America;"Organization of Nematologists of Tropical America";"1988, 1993-1994, 1996-2025";"Agronomy and Crop Science (Q3)";"Agricultural and Biological Sciences"
14023;19700201610;"Open Biochemistry Journal";journal;"1874091X";"Bentham Science Publishers";Yes;No;0,325;Q3;20;5;33;297;50;33;1,73;59,40;25,00;0;United Arab Emirates;Middle East;"Bentham Science Publishers";"2007, 2011-2025";"Biochemistry, Genetics and Molecular Biology (miscellaneous) (Q3)";"Biochemistry, Genetics and Molecular Biology"
14024;5000155903;"Psicologia: Reflexao e Critica";journal;"01027972, 16787153";"Springer International Publishing AG";Yes;Yes;0,325;Q3;35;26;81;1455;108;80;1,36;55,96;63,16;3;Switzerland;Western Europe;"Springer International Publishing AG";"2006-2026";"Psychology (miscellaneous) (Q3)";"Psychology"
14025;130147;"Ukrainian Mathematical Journal";journal;"00415995, 15739376";"Springer New York";No;No;0,325;Q3;32;132;408;2599;215;408;0,53;19,69;28,49;0;United States;Northern America;"Springer New York";"1957-2026";"Mathematics (miscellaneous) (Q3)";"Mathematics"
14026;21100199555;"eCrime Researchers Summit, eCrime";conference and proceedings;"21591245, 21591237";"IEEE Computer Society";No;No;0,325;-;23;14;35;613;105;32;2,29;43,79;29,41;0;United States;Northern America;"IEEE Computer Society";"2011-2024";"Computer Networks and Communications; Computer Science Applications; Information Systems; Information Systems and Management";"Computer Science; Decision Sciences"
14027;21100868850;"HPDC 2018 - Proceedings of the 2018 International Symposium on High-Performance Parallel and Distributed Computing";conference and proceedings;"-";"";No;No;0,325;-;12;0;24;0;68;22;2,83;0,00;0,00;0;United States;Northern America;"";"";"Computational Theory and Mathematics; Computer Science Applications; Software";"Computer Science"
14028;21100889398;"Proceedings - 26th IEEE International Symposium on Field-Programmable Custom Computing Machines, FCCM 2018";conference and proceedings;"-";"";No;No;0,325;-;18;0;55;0;180;53;3,27;0,00;0,00;0;United States;Northern America;"";"";"Artificial Intelligence; Hardware and Architecture; Software";"Computer Science"
14029;21100846938;"Proceedings - 30th Conference on Graphics, Patterns and Images, SIBGRAPI 2017";conference and proceedings;"-";"";No;No;0,325;-;15;0;62;0;130;60;0,00;0,00;0,00;0;United States;Northern America;"";"";"Computer Graphics and Computer-Aided Design; Computer Vision and Pattern Recognition; Management, Monitoring, Policy and Law; Signal Processing";"Computer Science; Environmental Science"
14030;21100899500;"Proceedings of 2018 1st IEEE International Conference on Hot Information-Centric Networking, HotICN 2018";conference and proceedings;"-";"";No;No;0,325;-;14;0;58;0;124;56;2,14;0,00;0,00;0;United States;Northern America;"";"";"Computer Networks and Communications; Information Systems";"Computer Science"
14031;5800170390;"William and Mary Quarterly";journal;"19337698, 00435597";"Omohundro Institute of Early American History and Culture";No;No;0,324;Q1;46;21;77;3198;70;71;0,93;152,29;52,38;0;United States;Northern America;"Omohundro Institute of Early American History and Culture";"1936, 1956, 1971-1972, 1975-1978, 1981-1982, 1984-1987, 1999-2025";"Cultural Studies (Q1); History (Q1)";"Arts and Humanities; Social Sciences"
14032;18761;"Advances in Complex Systems";journal;"02195259, 17936802";"World Scientific Publishing Co. Pte Ltd";No;No;0,324;Q2;42;25;68;896;77;67;1,26;35,84;24,56;0;Singapore;Asiatic Region;"World Scientific Publishing Co. Pte Ltd";"2004-2026";"Multidisciplinary (Q2); Control and Systems Engineering (Q3)";"Engineering; Multidisciplinary"
14033;100147348;"Howard Journal of Communications";journal;"10964649, 10646175";"Taylor and Francis Ltd.";No;No;0,324;Q2;44;36;86;2059;91;80;1,35;57,19;49,32;1;United Kingdom;Western Europe;"Taylor and Francis Ltd.";"1988-2026";"Communication (Q2); Strategy and Management (Q3)";"Business, Management and Accounting; Social Sciences"
14034;5800173381;"International Journal of Distributed Sensor Networks";journal;"15501329, 15501477";"John Wiley and Sons Ltd";Yes;No;0,324;Q2;77;214;904;7528;1783;887;2,01;35,18;27,72;1;United Kingdom;Western Europe;"John Wiley and Sons Ltd";"2005-2026";"Engineering (miscellaneous) (Q2); Computer Networks and Communications (Q3)";"Computer Science; Engineering"
14035;300147002;"Tamkang Journal of Mathematics";journal;"00492930";"Tamkang University";Yes;No;0,324;Q2;24;26;87;454;69;87;0,78;17,46;36,17;0;Taiwan;Asiatic Region;"Tamkang University";"1992, 1996, 2005-2025";"Metals and Alloys (Q2); Applied Mathematics (Q3); Materials Science (miscellaneous) (Q3); Mathematics (miscellaneous) (Q3)";"Materials Science; Mathematics"
14036;22852;"Yale Journal on Regulation";journal;"23765925, 07419457";"Yale Journal on Regulation";No;No;0,324;Q2;13;18;15;3129;34;15;2,27;173,83;32,00;0;United States;Northern America;"Yale Journal on Regulation";"1991, 1994, 1998, 2019-2025";"Law (Q2); Public Administration (Q3)";"Social Sciences"
14037;12633;"Aircraft Engineering and Aerospace Technology";journal;"17584213, 17488842";"Emerald Publishing";No;No;0,324;Q3;44;170;389;5086;460;381;1,16;29,92;17,10;0;United Kingdom;Western Europe;"Emerald Publishing";"1929-2026";"Aerospace Engineering (Q3)";"Engineering"
14038;4900152701;"Brazilian Journal of Cardiovascular Surgery";journal;"01027638, 16789741";"Sociedade Brasileira de Cirurgia Cardiovascular";Yes;Yes;0,324;Q3;39;181;344;3719;389;282;1,10;20,55;20,97;8;Brazil;Latin America;"Sociedade Brasileira de Cirurgia Cardiovascular";"2006-2026";"Cardiology and Cardiovascular Medicine (Q3); Medicine (miscellaneous) (Q3); Surgery (Q3)";"Medicine"
